,File,jury verdict,nonjury trial,plea of guilty,sever,suppress,sufficient,instructions,coerce,ineffective counsel,double jeopardy,speedy,coercion,youth,incapac,resentenc,juror,mental
168,2003_18523.htm.txt,,,,,,,,,,,,,,,,,
169,2003_18525.htm.txt,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2003_18527.htm.txt,,,,,,,,,,,,,,,,,
171,2003_18541.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
172,2003_18544.htm.txt,,,,,,,,,,,,,,,,,
173,2003_18553.htm.txt,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
174,2003_18554.htm.txt,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,2003_18555.htm.txt,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176,2003_18556.htm.txt,,,,,,,,,,,,,,,,,
177,2003_18557.htm.txt,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,2003_18558.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
179,2003_18560.htm.txt,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2003_18562.htm.txt,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
181,2003_18563.htm.txt,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,2003_18565.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,2003_18591.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
184,2003_18592.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
185,2003_18593.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,2003_18594.htm.txt,1.0,0.0,0.0,,,,,,,,,,,,,,
187,2003_18595.htm.txt,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,2003_18596.htm.txt,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,2003_18599.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
190,2003_18600.htm.txt,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2003_18601.htm.txt,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2003_18602.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
193,2003_18603.htm.txt,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,2003_18604.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,2003_18618.htm.txt,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
196,2003_18635.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2003_18636.htm.txt,,,,,,,,,,,,,,,,,
198,2003_18637.htm.txt,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
199,2003_18638.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
200,2003_18639.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
201,2003_18640.htm.txt,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,2003_18641.htm.txt,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,2003_18642.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
204,2003_18645.htm.txt,,,,,,,,,,,,,,,,,
205,2003_18646.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
206,2003_18647.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
207,2003_18648.htm.txt,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
208,2003_18649.htm.txt,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209,2003_18650.htm.txt,,,,,,,,,,,,,,,,,
210,2003_18651.htm.txt,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,2003_18652.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
212,2003_18653.htm.txt,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,2003_18670.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
214,2003_18671.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
215,2003_18672.htm.txt,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,2003_18673.htm.txt,0.0,0.0,1.0,,,,,,,,,,,,,,
